Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Cluster
Syrup,2 T.,40,100.0,0,0,0.0,0.0,25.0,Jams Jellies,0
table blends sugar,2 T.,40,110.0,0,0,0.0,0.0,29.0,Jams Jellies,0
Tapioca cream pudding,1 cup,250,335.0,10,10,9.0,0.0,42.0,Desserts sweets,2
Almonds,1/2 cup,70,425.0,13,38,28.0,1.8,13.0,Seeds and Nuts,1
roasted and salted,1/2 cup,70,439.0,13,40,31.0,1.8,13.0,Seeds and Nuts,1
Brazil nuts,1/2 cup,70,457.0,10,47,31.0,2.0,7.0,Seeds and Nuts,1
Cashews,1/2 cup,70,392.0,12,32,28.0,0.9,20.0,Seeds and Nuts,1
coconut sweetened,1/2 cup,50,274.0,1,20,19.0,2.0,26.0,Seeds and Nuts,2
Peanut butter,1/3 cup,50,300.0,12,25,17.0,0.9,9.0,Seeds and Nuts,1
Peanut butter natural,1/3 cup,50,284.0,13,24,10.0,0.9,8.0,Seeds and Nuts,1
Peanuts,1/3 cup,50,290.0,13,25,16.0,1.2,9.0,Seeds and Nuts,1
Pecans,1/2 cup,52,343.0,5,35,25.0,1.1,7.0,Seeds and Nuts,1
Sesame seeds,1/2 cup,50,280.0,9,24,13.0,3.1,10.0,Seeds and Nuts,1
Sunflower seeds,1/2 cup,50,280.0,12,26,7.0,1.9,10.0,Seeds and Nuts,1
Walnuts,1/2 cup,50,325.0,7,32,7.0,1.0,8.0,Seeds and Nuts,1
Beer,2 cups,480,228.0,0,0,0.0,0.0,8.0,DrinksAlcohol Beverages,0
Gin,1 oz.,28,70.0,0,0,0.0,0.0,0.0,DrinksAlcohol Beverages,0
Wines,1/2 cup,120,164.0,0,0,0.0,0.0,9.0,DrinksAlcohol Beverages,0
Table (12.2% alcohol),1/2 cup,120,100.0,0,0,0.0,0.0,5.0,DrinksAlcohol Beverages,0
Carbonated drinks Artificially sweetened,12 oz.,346,0.0,0,0,0.0,0.0,0.0,DrinksAlcohol Beverages,0
Club soda,12 oz.,346,0.0,0,0,0.0,0.0,0.0,DrinksAlcohol Beverages,0
Cola drinks,12 oz.,346,137.0,0,0,0.0,0.0,38.0,DrinksAlcohol Beverages,0
Fruit-flavored soda,12 oz.,346,161.0,0,0,0.0,0.0,42.0,DrinksAlcohol Beverages,0
Ginger ale,12 oz.,346,105.0,0,0,0.0,0.0,28.0,DrinksAlcohol Beverages,0
Root beer,12 oz.,346,140.0,0,0,0.0,0.0,35.0,DrinksAlcohol Beverages,0
Coffee,1 cup,230,3.0,0,0,0.0,0.0,1.0,DrinksAlcohol Beverages,0
Tea,1 cup,230,4.0,0,0,0.0,0.0,1.0,DrinksAlcohol Beverages,0
